#,Discourse Connector,Class,Category,BNC academic,COCA academic,BNC spoken,COCA spoken,BNC non-academic,COCA general,BNC all,COCA all
400,as a response to,Consequential,Causative,3.3,2.8,0.1,0.3,2.4,0.5,1.3,0.8
401,whereupon,Consequential,Resultative,3.2,1.2,0.2,0.3,3.8,1.1,2.8,1.2
402,then again,Contrastive,Concessive,3.1,2.3,17.7,4.8,1.4,7.3,5.3,6.6
403,concurrently,Comparison,,3.1,5.9,0.6,0.2,3.8,4.1,1.8,1.6
404,in sum,Summation,,3.1,10.8,0.1,0.1,1.2,1,1,2.6
405,theoretically,Clarification,Corroborative,3.1,2.8,0.2,1.6,1.3,1.3,1.2,1.6
406,eventually,Sequential,Timing,3,72.1,2.4,39.7,14.6,64.4,91.2,85.5
407,of considerable importance,Clarification,Emphasizing,2.9,0.3,0.1,0,1.2,0,0.9,0.1
408,of crucial importance,Clarification,Emphasizing,2.9,0.4,0.3,0,2.2,0.1,1.2,0.1
409,above all,Clarification,Emphasizing,2.8,3.7,0.5,0.8,2.8,4.2,23.1,10.3
410,oddly,Clarification,Corroborative,2.8,3.2,2.3,3.3,4.7,21.8,7.2,8.1
411,as a starting point,Sequential,Ordering,2.7,1.7,0.4,0.2,1.2,1.6,1,0.6
412,the amount of time,Sequential,Timing,2.7,6.7,2.1,1.4,2.3,2.1,2.1,2.5
413,hereafter,Sequential,Ordering,2.7,5.2,0.8,0.6,1.9,0.6,1.2,1.6
414,nowadays,Sequential,Timing,2.6,2.1,4.9,2.5,3.8,3.3,4.1,2.6
415,as it happens,Clarification,Corroborative,2.6,1.4,2.9,1.6,2.3,1.9,3,1.7
416,for all that,Contrastive,Concessive,2.5,1.2,2.2,2.1,2.5,1.8,3.3,2.1
417,furthering,Additive,Reinforcing,2.5,2.9,0.5,0.4,2,0.8,1.3,1
418,by the same token,Additive,Equative,2.5,2.8,0.5,1.5,1.9,1.3,1.5,1.4
419,all manner of,Clarification,Generalization,2.4,1.5,0.9,0.5,3.8,2.9,3,2.1
420,sooner or later,Sequential,Transitionals,2.4,2.4,3.3,5.1,3.6,4.4,5.2,5.1
421,one consequence of,Consequential,Causative,2.4,0.8,0,0.1,1.3,0.2,0.8,0.3
422,it is noteworthy that,Clarification,Corroborative,2.4,2.3,0.1,0,1,0.1,0.8,0.5
423,support that,Apposition,Restatement,2.4,4.2,6.1,9.1,1.3,2.4,2.1,3.7
424,during this time,Sequential,Transitionals,2.3,5.6,0.6,1.6,3.8,2,2.9,2.5
425,most of all,Clarification,Emphasizing,2.3,3.1,1.3,4.6,2.8,5.7,4.1,5.2
426,most important of all,Clarification,Emphasizing,2.3,0.7,0.4,0.5,2.9,0.5,1.8,0.5
427,above all,Clarification,Generalization,2.2,1.9,1,0.3,3.9,2.1,23.1,10.3
428,without question,Clarification,Emphasizing,2.2,1.7,0.3,2.4,2.6,2,2,2
429,of limited value,Clarification,Emphasizing,2.2,0.3,0,0,0.4,0.1,0.5,0.1
